══════════════════════
npx cdk destroy --all --force --context config-path=/Users/alessandrovolpicella/repo/cloudfront-toolkit-vite/cloudfront-hosting-toolkit 


══════════════════════

hosting-main-cloudfront-toolkit-vite-main: destroying... [1/2]
hosting-main-cloudfront-toolkit-vite-main |  18 | 10:05:56 | DELETE_COMPLETE      | AWS::IAM::Policy                       | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/DefaultPolicy (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aServiceRoleDefaultPolicyADDA7DEB) 
hosting-main-cloudfront-toolkit-vite-main |  18 | 10:05:56 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aServiceRole9741ECFB) 
hosting-main-cloudfront-toolkit-vite-main |  19 | 10:05:57 | DELETE_COMPLETE      | AWS::S3::Bucket                        | Hosting/PipelineInfrastructure/ArtifactBucket (HostingPipelineInfrastructureArtifactBucket000BDB60) 
hosting-main-cloudfront-toolkit-vite-main |  20 | 10:06:04 | DELETE_COMPLETE      | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Build/Build-And-Copy-to-S3-cloudfront-toolkit-vite/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineBuildBuildAndCopytoS3cloudfronttoolkitviteCodePipelineActionRole1BA43860) 
hosting-main-cloudfront-toolkit-vite-main |  21 | 10:06:04 | DELETE_COMPLETE      | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/ChangeUri/Invoke/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineChangeUriInvokeCodePipelineActionRole87BB8ADC) 
hosting-main-cloudfront-toolkit-vite-main |  22 | 10:06:05 | DELETE_COMPLETE      | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Sources/GitHub-Source-cloudfront-toolkit-vite/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineSourcesGitHubSourcecloudfronttoolkitviteCodePipelineActionRoleA27785D7) 
hosting-main-cloudfront-toolkit-vite-main |  23 | 10:06:05 | DELETE_COMPLETE      | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/Project/Role (HostingPipelineInfrastructureProjectRole0A86D4CE) 
hosting-main-cloudfront-toolkit-vite-main |  24 | 10:06:05 | DELETE_COMPLETE      | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Role (HostingPipelineInfrastructureMyPipelineRoleB18081B5) 
hosting-main-cloudfront-toolkit-vite-main |  24 | 10:06:06 | DELETE_IN_PROGRESS   | Custom::CDKBucketDeployment            | Hosting/PipelineInfrastructure/InitialPage/CustomResource/Default (HostingPipelineInfrastructureInitialPageCustomResource34A55526) 
hosting-main-cloudfront-toolkit-vite-main |  25 | 10:06:08 | DELETE_COMPLETE      | AWS::IAM::Role                         | Custom::S3AutoDeleteObjectsCustomResourceProvider/Role (CustomS3AutoDeleteObjectsCustomResourceProviderRole3B1BD092) 
hosting-main-cloudfront-toolkit-vite-main |  26 | 10:06:08 | DELETE_COMPLETE      | Custom::CDKBucketDeployment            | Hosting/PipelineInfrastructure/InitialPage/CustomResource/Default (HostingPipelineInfrastructureInitialPageCustomResource34A55526) 
hosting-main-cloudfront-toolkit-vite-main |  26 | 10:06:08 | DELETE_IN_PROGRESS   | AWS::Lambda::Function                  | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C81C01536) 
hosting-main-cloudfront-toolkit-vite-main |  27 | 10:06:09 | DELETE_COMPLETE      | AWS::IAM::Role                         | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aServiceRole9741ECFB) 
hosting-main-cloudfront-toolkit-vite-main |  28 | 10:06:12 | DELETE_COMPLETE      | AWS::Lambda::Function                  | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C81C01536) 
hosting-main-cloudfront-toolkit-vite-main |  28 | 10:06:12 | DELETE_IN_PROGRESS   | AWS::Lambda::LayerVersion              | Hosting/PipelineInfrastructure/InitialPage/AwsCliLayer (HostingPipelineInfrastructureInitialPageAwsCliLayer9A51F97C) 
hosting-main-cloudfront-toolkit-vite-main |  28 | 10:06:12 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756CServiceRoleDefaultPolicy88902FDF) 
hosting-main-cloudfront-toolkit-vite-main |  29 | 10:06:13 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756CServiceRoleDefaultPolicy88902FDF) 
hosting-main-cloudfront-toolkit-vite-main |  30 | 10:06:13 | DELETE_COMPLETE      | AWS::Lambda::LayerVersion              | Hosting/PipelineInfrastructure/InitialPage/AwsCliLayer (HostingPipelineInfrastructureInitialPageAwsCliLayer9A51F97C) 
hosting-main-cloudfront-toolkit-vite-main |  30 | 10:06:13 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756CServiceRole89A01265) 
hosting-main-cloudfront-toolkit-vite-main |  31 | 10:06:26 | DELETE_COMPLETE      | AWS::IAM::Role                         | Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole (CustomCDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756CServiceRole89A01265) 
 31 Currently in progress: HostingPipelineInfrastructureUpdateCFFStaticHostingSF1C3F6163, hosting-main-cloudfront-toolkit-vite-main, HostingPipelineInfrastructureArtifactBucketAutoDeleteObjectsCustomResource8CA26117, HostingHostingInfrastructureDistribution2FE26CAE
hosting-main-cloudfront-toolkit-vite-main |  32 | 10:07:04 | DELETE_COMPLETE      | AWS::StepFunctions::StateMachine       | Hosting/PipelineInfrastructure/UpdateCFF/StaticHostingSF (HostingPipelineInfrastructureUpdateCFFStaticHostingSF1C3F6163) 
hosting-main-cloudfront-toolkit-vite-main |  32 | 10:07:04 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/UpdateCFF/StaticHostingSF/Role/DefaultPolicy (HostingPipelineInfrastructureUpdateCFFStaticHostingSFRoleDefaultPolicyE080F905) 
hosting-main-cloudfront-toolkit-vite-main |  32 | 10:07:04 | DELETE_IN_PROGRESS   | AWS::Logs::LogGroup                    | Hosting/PipelineInfrastructure/UpdateCFF/sfnLog (HostingPipelineInfrastructureUpdateCFFsfnLog3A570214) 
hosting-main-cloudfront-toolkit-vite-main |  33 | 10:07:05 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/UpdateCFF/StaticHostingSF/Role/DefaultPolicy (HostingPipelineInfrastructureUpdateCFFStaticHostingSFRoleDefaultPolicyE080F905) 
hosting-main-cloudfront-toolkit-vite-main |  34 | 10:07:05 | DELETE_COMPLETE      | AWS::Logs::LogGroup                    | Hosting/PipelineInfrastructure/UpdateCFF/sfnLog (HostingPipelineInfrastructureUpdateCFFsfnLog3A570214) 
hosting-main-cloudfront-toolkit-vite-main |  34 | 10:07:05 | DELETE_IN_PROGRESS   | AWS::Lambda::Function                  | Hosting/PipelineInfrastructure/UpdateCFF/UpdateKvsFunction (HostingPipelineInfrastructureUpdateCFFUpdateKvsFunction85F93F9D) 
hosting-main-cloudfront-toolkit-vite-main |  34 | 10:07:06 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/UpdateCFF/StaticHostingSF/Role (HostingPipelineInfrastructureUpdateCFFStaticHostingSFRoleC8BF2D67) 
hosting-main-cloudfront-toolkit-vite-main |  34 | 10:07:06 | DELETE_IN_PROGRESS   | AWS::Lambda::Function                  | Hosting/PipelineInfrastructure/UpdateCFF/DeleteOldDeployments (HostingPipelineInfrastructureUpdateCFFDeleteOldDeployments1E3F3EDE) 
hosting-main-cloudfront-toolkit-vite-main |  35 | 10:07:09 | DELETE_COMPLETE      | AWS::Lambda::Function                  | Hosting/PipelineInfrastructure/UpdateCFF/UpdateKvsFunction (HostingPipelineInfrastructureUpdateCFFUpdateKvsFunction85F93F9D) 
hosting-main-cloudfront-toolkit-vite-main |  36 | 10:07:09 | DELETE_COMPLETE      | AWS::Lambda::Function                  | Hosting/PipelineInfrastructure/UpdateCFF/DeleteOldDeployments (HostingPipelineInfrastructureUpdateCFFDeleteOldDeployments1E3F3EDE) 
hosting-main-cloudfront-toolkit-vite-main |  36 | 10:07:09 | DELETE_IN_PROGRESS   | AWS::Lambda::LayerVersion              | Hosting/PipelineInfrastructure/UpdateCFF/AwsSdkLayer (HostingPipelineInfrastructureUpdateCFFAwsSdkLayerEA1E386E) 
hosting-main-cloudfront-toolkit-vite-main |  36 | 10:07:10 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/UpdateCFF/BasicLambdaRole/DefaultPolicy (HostingPipelineInfrastructureUpdateCFFBasicLambdaRoleDefaultPolicy58B6752A) 
